Comment Date,Comment
"Jan 13, 2023, 1:11:36 PM",Aw<3
"Feb 9, 2023, 3:58:14 PM",Running away from meetings 
"Feb 28, 2023, 6:57:05 PM",Looking forward to getting those miles in!
"Mar 22, 2023, 6:00:14 PM",The watch couldn't make it til the end. 
"Apr 6, 2023, 3:17:11 PM",Marco Carobene delizioso! 
"Apr 12, 2023, 10:58:08 AM",Wow!!!
"Apr 12, 2023, 1:18:09 PM",Ola Kalisz impressive! Welcome back!! 
"Apr 19, 2023, 12:01:22 PM",S-M-A-S-H-E-D I-T
"May 12, 2023, 7:09:34 PM",Yeslamou Faher Haddadin !
"May 15, 2023, 4:58:15 AM",Thank youuuu Ola Kalisz !!! ðŸ’šðŸ’šðŸ’š
"May 15, 2023, 5:00:04 AM",ðŸ˜ðŸ˜ðŸ˜ðŸ˜
"May 18, 2023, 10:18:40 AM",Go Ola!!ðŸ‘£â˜•â¤ï¸
"Jun 25, 2023, 7:58:10 AM",Faher Haddadin Allah ysalmak!
"Jul 1, 2023, 3:50:45 PM",Wow so strong!!!!! 
"Jul 1, 2023, 3:50:57 PM",Ahhhh so cool! Well done belli!!!!
"Aug 2, 2023, 8:31:48 PM",Snap!ðŸ«°
"Aug 26, 2023, 6:56:40 PM",Hahaha it wasn't the same without you guys! â¤ï¸â¤ï¸â¤ï¸ Marius Urbonas Ola Kalisz 
"Aug 26, 2023, 6:57:59 PM",Wow che sexy! 
"Sep 6, 2023, 9:23:21 PM",Ola Kalisz haha it is inaccurate andðŸ˜… I was stopping throughout my swims so this is why it looks so fast 
"Sep 6, 2023, 9:25:45 PM",Ola Kalisz maybe that guy was Logan Roy...
"Sep 14, 2023, 1:37:59 PM",No way! I always go there early in the morning!! Which cake did you try this time?
"Sep 14, 2023, 1:48:29 PM",Ahh the lemon one is my fav ofc haha!!
"Sep 26, 2023, 5:14:27 PM",Can't wait!
"Oct 9, 2023, 6:51:54 PM",You got me! 
"Oct 12, 2023, 3:02:15 PM",ðŸ˜ðŸ˜
"Oct 16, 2023, 8:00:38 AM",Bravissime bella! Fresh like an orange 
"Nov 21, 2023, 5:44:56 PM",ðŸ˜‚ðŸ˜‚ðŸ˜‚
